timestamp_ns,dt,raw_baro_alt,gps_alt,ekf_alt,ekf_vel_z,pid_target,pid_out_throttle
1782738230088944896,0.000125,0,0,77.6534,6.09616,100,0.84
1782738230089069824,0.000125,0,0,77.6541,6.09616,100,0.84
1782738230089194752,0.000125,0,0,77.6549,6.09616,100,0.84
1782738230089319680,0.000125,0,0,77.6556,6.09616,100,0.84
1782738230089444608,0.000125,0,0,77.6564,6.09616,100,0.84
1782738230089569536,0.000125,0,0,77.6572,6.09616,100,0.84
1782738230089694464,0.000125,0,0,77.6579,6.09616,100,0.84
1782738230089819392,0.000125,0,0,77.6587,6.09616,100,0.84
1782738230089944320,0.000125,0,0,77.6594,6.09616,100,0.84
1782738230090069248,0.000125,0,0,77.6602,6.09616,100,0.84
1782738230090194176,0.000125,0,0,77.661,6.09616,100,0.84
1782738230090319104,0.000125,0,0,77.6617,6.09616,100,0.84
1782738230090444032,0.000125,0,0,77.6625,6.09616,100,0.84
1782738230090568960,0.000125,0,0,77.6633,6.09616,100,0.84
1782738230090693888,0.000125,0,0,77.664,6.09617,100,0.84
1782738230090818816,0.000125,0,0,77.6648,6.09617,100,0.84
1782738230090943744,0.000125,0,0,77.6655,6.09617,100,0.84
1782738230091068672,0.000125,0,0,77.6663,6.09617,100,0.84
1782738230091193600,0.000125,0,0,77.6671,6.09617,100,0.84
1782738230091318528,0.000125,0,0,77.6678,6.09617,100,0.84
1782738230091443456,0.000125,0,0,77.6686,6.09617,100,0.84
1782738230091568384,0.000125,0,0,77.6693,6.09617,100,0.84
1782738230091693312,0.000125,0,0,77.6701,6.09617,100,0.84
1782738230091818240,0.000125,0,0,77.6709,6.09617,100,0.84
1782738230091943168,0.000125,0,0,77.6716,6.09617,100,0.84
1782738230092068096,0.000125,0,0,77.6724,6.09617,100,0.84
1782738230092193024,0.000125,0,0,77.6732,6.09617,100,0.84
1782738230092317952,0.000125,0,0,77.6739,6.09617,100,0.84
1782738230092442880,0.000125,0,0,77.6747,6.09617,100,0.84
1782738230092567808,0.000125,0,0,77.6754,6.09617,100,0.84
1782738230092692736,0.000125,0,0,77.6762,6.09617,100,0.84
1782738230092817664,0.000125,0,0,77.677,6.09617,100,0.84
1782738230092942592,0.000125,0,0,77.6777,6.09618,100,0.84
1782738230093067520,0.000125,0,0,77.6785,6.09618,100,0.84
1782738230093192448,0.000125,0,0,77.6793,6.09618,100,0.84
1782738230093317376,0.000125,0,0,77.68,6.09618,100,0.84
1782738230093442304,0.000125,0,0,77.6808,6.09618,100,0.84
1782738230093567232,0.000125,0,0,77.6815,6.09618,100,0.84
1782738230093692160,0.000125,0,0,77.6823,6.09618,100,0.84
1782738230093817088,0.000125,0,0,77.6831,6.09618,100,0.84
1782738230093942016,0.000125,0,0,77.6838,6.09618,100,0.84
1782738230094066944,0.000125,0,0,77.6846,6.09618,100,0.84
1782738230094191872,0.000125,0,0,77.6853,6.09618,100,0.84
1782738230094316800,0.000125,0,0,77.6861,6.09618,100,0.84
1782738230094441728,0.000125,0,0,77.6869,6.09618,100,0.84
1782738230094566656,0.000125,0,0,77.6876,6.09618,100,0.84
1782738230094691584,0.000125,0,0,77.6884,6.09618,100,0.84
1782738230094816512,0.000125,0,0,77.6891,6.09618,100,0.84
1782738230094941440,0.000125,0,0,77.6899,6.09618,100,0.84
1782738230095066368,0.000125,0,0,77.6907,6.09618,100,0.84
1782738230095191296,0.000125,0,0,77.6914,6.09619,100,0.84
1782738230095316224,0.000125,0,0,77.6922,6.09619,100,0.84
1782738230095441152,0.000125,0,0,77.693,6.09619,100,0.84
1782738230095566080,0.000125,0,0,77.6937,6.09619,100,0.84
1782738230095691008,0.000125,0,0,77.6945,6.09619,100,0.84
1782738230095815936,0.000125,0,0,77.6952,6.09619,100,0.84
1782738230095940864,0.000125,0,0,77.696,6.09619,100,0.84
1782738230096065792,0.000125,0,0,77.6968,6.09619,100,0.84
1782738230096190720,0.000125,0,0,77.6975,6.09619,100,0.84
1782738230096315648,0.000125,0,0,77.6983,6.09619,100,0.84
1782738230096440576,0.000125,0,0,77.6991,6.09619,100,0.84
1782738230096565504,0.000125,0,0,77.6998,6.09619,100,0.84
1782738230096690432,0.000125,0,0,77.7006,6.09619,100,0.84
1782738230096815360,0.000125,0,0,77.7013,6.09619,100,0.84
1782738230096940288,0.000125,0,0,77.7021,6.09619,100,0.84
1782738230097065216,0.000125,0,0,77.7029,6.09619,100,0.84
1782738230097190144,0.000125,0,0,77.7036,6.09619,100,0.84
1782738230097315072,0.000125,0,0,77.7044,6.09619,100,0.84
1782738230097440000,0.000125,0,0,77.7051,6.0962,100,0.84
1782738230097564928,0.000125,0,0,77.7059,6.0962,100,0.84
1782738230097689856,0.000125,0,0,77.7067,6.0962,100,0.84
1782738230097814784,0.000125,0,0,77.7074,6.0962,100,0.84
1782738230097939712,0.000125,0,0,77.7082,6.0962,100,0.84
1782738230098064640,0.000125,0,0,77.709,6.0962,100,0.84
1782738230098189568,0.000125,0,0,77.7097,6.0962,100,0.84
1782738230098314496,0.000125,0,0,77.7105,6.0962,100,0.84
1782738230098439424,0.000125,0,0,77.7112,6.0962,100,0.84
1782738230098564352,0.000125,0,0,77.712,6.0962,100,0.84
1782738230098689280,0.000125,0,0,77.7128,6.0962,100,0.84
1782738230098814208,0.000125,0,0,77.7135,6.0962,100,0.84
1782738230098939136,0.000125,0,0,77.7143,6.0962,100,0.84
1782738230099064064,0.000125,0,0,77.715,6.0962,100,0.84
1782738230099188992,0.000125,0,0,77.7158,6.0962,100,0.84
1782738230099313920,0.000125,0,0,77.7166,6.0962,100,0.84
1782738230099438848,0.000125,0,0,77.7173,6.0962,100,0.84
1782738230099563776,0.000125,0,0,77.7181,6.0962,100,0.84
1782738230099688704,0.000125,0,0,77.7188,6.0962,100,0.84
1782738230099813632,0.000125,0,0,77.7196,6.09621,100,0.84
1782738230099938560,0.000125,0,0,77.7204,6.09621,100,0.84
1782738230100063488,0.000125,0,0,77.7211,6.09621,100,0.84
1782738230100188416,0.000125,0,0,77.7219,6.09621,100,0.84
1782738230100313344,0.000125,0,0,77.7227,6.09621,100,0.84
1782738230100438272,0.000125,0,0,77.7234,6.09621,100,0.84
1782738230100563200,0.000125,0,0,77.7242,6.09621,100,0.84
1782738230100688128,0.000125,0,0,77.7249,6.09621,100,0.84
1782738230100813056,0.000125,0,0,77.7257,6.09621,100,0.84
1782738230100937984,0.000125,0,0,77.7265,6.09621,100,0.84
1782738230101062912,0.000125,0,0,77.7272,6.09621,100,0.84
1782738230101187840,0.000125,0,0,77.728,6.09621,100,0.84
1782738230101312768,0.000125,0,0,77.7288,6.09621,100,0.84
1782738230101437696,0.000125,0,0,77.7295,6.09621,100,0.84
1782738230101562624,0.000125,0,0,77.7303,6.09621,100,0.84
1782738230101687552,0.000125,0,0,77.731,6.09621,100,0.84
1782738230101812480,0.000125,0,0,77.7318,6.09621,100,0.84
1782738230101937408,0.000125,0,0,77.7326,6.09621,100,0.84
1782738230102062336,0.000125,0,0,77.7333,6.09622,100,0.84
1782738230102187264,0.000125,0,0,77.7341,6.09622,100,0.84
1782738230102312192,0.000125,0,0,77.7348,6.09622,100,0.84
1782738230102437120,0.000125,0,0,77.7356,6.09622,100,0.84
1782738230102562048,0.000125,0,0,77.7364,6.09622,100,0.84
1782738230102686976,0.000125,0,0,77.7371,6.09622,100,0.84
1782738230102811904,0.000125,0,0,77.7379,6.09622,100,0.84
1782738230102936832,0.000125,0,0,77.7387,6.09622,100,0.84
1782738230103061760,0.000125,0,0,77.7394,6.09622,100,0.84
1782738230103186688,0.000125,0,0,77.7402,6.09622,100,0.84
1782738230103311616,0.000125,0,0,77.7409,6.09622,100,0.84
1782738230103436544,0.000125,0,0,77.7417,6.09622,100,0.84
1782738230103561472,0.000125,0,0,77.7425,6.09622,100,0.84
1782738230103686400,0.000125,0,0,77.7432,6.09622,100,0.84
1782738230103811328,0.000125,0,0,77.744,6.09622,100,0.84
1782738230103936256,0.000125,0,0,77.7447,6.09622,100,0.84
1782738230104061184,0.000125,0,0,77.7455,6.09622,100,0.84
1782738230104186112,0.000125,0,0,77.7463,6.09622,100,0.84
1782738230104311040,0.000125,0,0,77.747,6.09623,100,0.84
1782738230104435968,0.000125,0,0,77.7478,6.09623,100,0.84
1782738230104560896,0.000125,0,0,77.7486,6.09623,100,0.84
1782738230104685824,0.000125,0,0,77.7493,6.09623,100,0.84
1782738230104810752,0.000125,0,0,77.7501,6.09623,100,0.84
1782738230104935680,0.000125,0,0,77.7508,6.09623,100,0.84
1782738230105060608,0.000125,0,0,77.7516,6.09623,100,0.84
1782738230105185536,0.000125,0,0,77.7524,6.09623,100,0.84
1782738230105310464,0.000125,0,0,77.7531,6.09623,100,0.84
1782738230105435392,0.000125,0,0,77.7539,6.09623,100,0.84
1782738230105560320,0.000125,0,0,77.7546,6.09623,100,0.84
1782738230105685248,0.000125,0,0,77.7554,6.09623,100,0.84
1782738230105810176,0.000125,0,0,77.7562,6.09623,100,0.84
1782738230105935104,0.000125,0,0,77.7569,6.09623,100,0.84
1782738230106060032,0.000125,0,0,77.7577,6.09623,100,0.84
1782738230106184960,0.000125,0,0,77.7585,6.09623,100,0.84
1782738230106309888,0.000125,0,0,77.7592,6.09623,100,0.84
1782738230106434816,0.000125,0,0,77.76,6.09623,100,0.84
1782738230106559744,0.000125,0,0,77.7607,6.09624,100,0.84
1782738230106684672,0.000125,0,0,77.7615,6.09624,100,0.84
1782738230106809600,0.000125,0,0,77.7623,6.09624,100,0.84
1782738230106934528,0.000125,0,0,77.763,6.09624,100,0.84
1782738230107059456,0.000125,0,0,77.7638,6.09624,100,0.84
1782738230107184384,0.000125,0,0,77.7645,6.09624,100,0.84
1782738230107309312,0.000125,0,0,77.7653,6.09624,100,0.84
1782738230107434240,0.000125,0,0,77.7661,6.09624,100,0.84
1782738230107559168,0.000125,0,0,77.7668,6.09624,100,0.84
1782738230107684096,0.000125,0,0,77.7676,6.09624,100,0.84
1782738230107809024,0.000125,0,0,77.7684,6.09624,100,0.84
1782738230107933952,0.000125,0,0,77.7691,6.09624,100,0.84
1782738230108058880,0.000125,0,0,77.7699,6.09624,100,0.84
1782738230108183808,0.000125,0,0,77.7706,6.09624,100,0.84
1782738230108308736,0.000125,0,0,77.7714,6.09624,100,0.84
1782738230108433664,0.000125,0,0,77.7722,6.09624,100,0.84
1782738230108558592,0.000125,0,0,77.7729,6.09624,100,0.84
1782738230108683520,0.000125,0,0,77.7737,6.09624,100,0.84
1782738230108808448,0.000125,0,0,77.7744,6.09624,100,0.84
1782738230108933376,0.000125,0,0,77.7752,6.09625,100,0.84
1782738230109058304,0.000125,0,0,77.776,6.09625,100,0.84
1782738230109183232,0.000125,0,0,77.7767,6.09625,100,0.84
1782738230109308160,0.000125,0,0,77.7775,6.09625,100,0.84
1782738230109433088,0.000125,0,0,77.7783,6.09625,100,0.84
1782738230109558016,0.000125,0,0,77.779,6.09625,100,0.84
1782738230109682944,0.000125,0,0,77.7798,6.09625,100,0.84
1782738230109807872,0.000125,0,0,77.7805,6.09625,100,0.84
1782738230109932800,0.000125,0,0,77.7813,6.09625,100,0.84
1782738230110057728,0.000125,0,0,77.7821,6.09625,100,0.84
1782738230110182656,0.000125,0,0,77.7828,6.09625,100,0.84
1782738230110307584,0.000125,0,0,77.7836,6.09625,100,0.84
1782738230110432512,0.000125,0,0,77.7843,6.09625,100,0.84
1782738230110557440,0.000125,0,0,77.7851,6.09625,100,0.84
