idx,sim_ts_ns,wall_us,read_us,interarrival_us,jitter_us,sim_dt_us
336,1782476962189463300,452370,0.8,1000,0,1000
337,1782476962190463300,453370,0.6,1000,0,1000
338,1782476962191463300,454370,1.1,1000,0,1000
339,1782476962192463300,455370,0.5,1000,0,1000
340,1782476962193463300,456370,1.6,1000.7,0.7,1000
341,1782476962194463300,457370,0.9,999.3,0,1000
342,1782476962195463300,458388,1.2,1018,18,1000
343,1782476962196463300,459370,0.6,982,0,1000
344,1782476962197463300,460370,0.6,1000,0,1000
345,1782476962198463300,461370,0.5,1000,0,1000
346,1782476962199463300,462370,0.7,1000,0,1000
347,1782476962200338300,463370,0.6,1000,0,875
348,1782476962201463300,464370,0.6,1000,0,1125
349,1782476962202338300,465370,0.4,1000,0,875
350,1782476962203838300,466780,1,1410.6,410.6,1500
351,1782476962204713300,467751,0.7,970.8,381.4,875
352,1782476962205713300,468724,0.7,973.1,354.5,1000
353,1782476962206713300,469698,0.7,973.3,327.8,1000
354,1782476962207588300,470676,0.5,978.6,306.4,875
355,1782476962208588300,471635,1,958.6,265,1000
356,1782476962209588300,472600,0.5,965.5,230.5,1000
357,1782476962210588300,473629,0.8,1028.9,259.4,1000
358,1782476962211588300,474656,1.6,1026.5,285.9,1000
359,1782476962212588300,475685,0.8,1029.7,315.6,1000
360,1782476962213713300,476694,0.9,1008.7,324.3,1125
361,1782476962214713300,477702,0.6,1008,332.3,1000
362,1782476962215713300,478718,0.9,1016.1,348.4,1000
363,1782476962216713300,479758,0.7,1039.9,388.3,1000
364,1782476962217713300,480794,0.6,1036.3,424.6,1000
365,1782476962218838300,482224,0.9,1429.2,853.8,1125
366,1782476962219713300,483058,0.5,834.2,688,875
367,1782476962220463300,483811,0.4,753,441,750
368,1782476962221088300,484493,0.5,682.4,123.4,625
369,1782476962221963300,485370,0.5,876.6,0,875
370,1782476962222963300,486370,0.6,1000,0,1000
371,1782476962223963300,487370,0.6,1000,0,1000
372,1782476962224963300,488370,0.6,1000,0,1000
373,1782476962225963300,489370,1.1,1000,0,1000
374,1782476962226963300,490370,0.8,1000,0,1000
375,1782476962227963300,491370,0.9,1000,0,1000
376,1782476962228963300,492370,0.7,1000,0,1000
377,1782476962229963300,493370,0.5,1000,0,1000
378,1782476962230963300,494370,0.5,1000,0,1000
379,1782476962231963300,495370,0.5,1000,0,1000
380,1782476962232838300,496370,30.4,1000,0,875
381,1782476962233713300,497370,0.6,1000,0,875
382,1782476962234713300,498370,0.5,1000,0,1000
383,1782476962235713300,499370,0.7,1000,0,1000
384,1782476962236713300,500370,0.6,1000,0,1000
385,1782476962237713300,501370,0.5,1000,0,1000
386,1782476962238713300,502370,0.6,1000,0,1000
387,1782476962239713300,503370,0.5,1000,0,1000
388,1782476962240713300,504370,0.6,1000,0,1000
389,1782476962241713300,505370,0.6,1000,0,1000
390,1782476962242713300,506370,0.7,1000,0,1000
391,1782476962243713300,507370,0.8,1000,0,1000
392,1782476962244713300,508370,0.5,1000,0,1000
393,1782476962245713300,509370,0.6,1000,0,1000
394,1782476962246713300,510370,0.7,1000,0,1000
395,1782476962247713300,511412,0.6,1042,42,1000
396,1782476962248963300,512674,2.5,1262,304,1250
397,1782476962249963300,513642,0.6,968.3,272.3,1000
398,1782476962250588300,514372,1,730.1,2.4,625
399,1782476962251588300,515370,0.5,997.6,0,1000
400,1782476962252588300,516370,0.7,1000,0,1000
401,1782476962253588300,517370,3.2,1000,0,1000
402,1782476962254588300,518370,1.4,1000,0,1000
403,1782476962255588300,519370,0.8,1000,0,1000
404,1782476962256588300,520370,0.6,1000,0,1000
405,1782476962257588300,521370,0.4,1000,0,1000
406,1782476962258588300,522370,3.8,1000,0,1000
407,1782476962259588300,523370,1.3,1000,0,1000
408,1782476962260588300,524370,1.2,1000,0,1000
409,1782476962261588300,525372,0.9,1002.4,2.4,1000
410,1782476962262713300,526406,0.5,1034.3,36.7,1125
411,1782476962263088300,555370,1.1,28963.3,0,375
412,1782476962264088300,556370,1.4,1000,0,1000
413,1782476962265088300,557459,1.1,1089.7,89.7,1000
414,1782476962266213300,558542,1.2,1082.6,172.3,1125
415,1782476962267213300,559597,0.5,1055,227.3,1000
416,1782476962268213300,560566,0.5,968.8,196.1,1000
417,1782476962268963300,561370,0.8,803.9,0,750
418,1782476962269963300,562370,0.8,1000,0,1000
419,1782476962270963300,563370,1,1000,0,1000
420,1782476962271963300,564370,0.4,1000,0,1000
421,1782476962272963300,565370,1.4,1000,0,1000
422,1782476962273963300,566370,1.1,1000,0,1000
423,1782476962274963300,567370,1.5,1000,0,1000
424,1782476962275963300,568370,1.2,1000,0,1000
425,1782476962276963300,569370,0.6,1000,0,1000
426,1782476962277963300,570370,0.6,1000,0,1000
427,1782476962278963300,571370,0.6,1000,0,1000
428,1782476962279963300,572370,1.3,1000,0,1000
