idx,sim_ts_ns,wall_us,read_us,interarrival_us,jitter_us,sim_dt_us
144,1782475481260963300,166420,2.3,938.4,688.4,875
145,1782475481261713300,167105,0.4,685.4,435.4,750
146,1782475481262338300,167797,0.4,691.4,441.4,625
147,1782475481263088300,168569,0.6,772.5,522.5,750
148,1782475481263963300,169442,0.5,873.1,623.1,875
149,1782475481264713300,170147,0.4,704.6,454.6,750
150,1782475481265338300,170802,0.7,655.4,405.4,625
151,1782475481265963300,171437,0.4,634.9,384.9,625
152,1782475481266713300,172214,0.7,776.8,526.8,750
153,1782475481267463300,172923,0.5,708.8,458.8,750
154,1782475481268213300,173614,0.6,691.8,441.8,750
155,1782475481268838300,174300,0.7,686,436,625
156,1782475481269588300,175017,0.4,716.5,466.5,750
157,1782475481270338300,175742,0.6,724.5,474.5,750
158,1782475481271088300,176562,1.3,820.9,570.9,750
159,1782475481271838300,177280,0.4,717.2,467.2,750
160,1782475481272463300,177965,0.7,685.4,435.4,625
161,1782475481273213300,178648,0.5,683.5,433.5,750
162,1782475481273838300,179292,0.6,643.6,393.6,625
163,1782475481274463300,179956,0.4,663.6,413.6,625
164,1782475481275463300,180916,1.1,960.3,710.3,1000
165,1782475481276463300,181914,0.6,998.5,748.5,1000
166,1782475481277338300,182857,0.6,942.5,692.5,875
167,1782475481278338300,183792,0.9,935.5,685.5,1000
168,1782475481279213300,184739,0.7,946.4,696.4,875
169,1782475481280213300,185734,0.4,994.8,744.8,1000
170,1782475481281213300,186715,0.6,981.2,731.2,1000
171,1782475481282213300,187709,1.2,994.5,744.5,1000
172,1782475481283213300,188715,0.7,1005.9,755.9,1000
173,1782475481284338300,189785,1.9,1069.4,819.4,1125
174,1782475481285338300,190812,1.1,1027.5,777.5,1000
175,1782475481286463300,191892,1.4,1079.4,829.4,1125
176,1782475481287463300,192911,0.6,1019.3,769.3,1000
177,1782475481288463300,193953,0.8,1042.1,792.1,1000
178,1782475481289463300,194988,0.6,1034.6,784.6,1000
179,1782475481290588300,196147,2.4,1159,909,1125
180,1782475481291338300,196890,0.7,743.5,493.5,750
181,1782475481292088300,197560,0.4,669.4,419.4,750
182,1782475481292713300,198256,0.5,697,447,625
183,1782475481293463300,198966,0.5,709,459,750
184,1782475481294213300,199706,0.4,740.3,490.3,750
185,1782475481294963300,200477,0.7,771.2,521.2,750
186,1782475481295588300,201159,0.5,682.2,432.2,625
187,1782475481296213300,201830,0.5,670.9,420.9,625
188,1782475481296963300,202493,0.4,662.5,412.5,750
189,1782475481297588300,203181,0.4,688.8,438.8,625
190,1782475481298463300,203963,0.6,781.5,531.5,875
191,1782475481299088300,204670,0.3,706.8,456.8,625
192,1782475481299713300,205317,0.4,647.6,397.6,625
193,1782475481300463300,205997,0.5,679.9,429.9,750
194,1782475481301088300,206698,0.5,700.6,450.6,625
195,1782475481301838300,207489,0.8,790.8,540.8,750
196,1782475481302588300,208276,1.9,787.4,537.4,750
197,1782475481303463300,209086,3.3,810.4,560.4,875
198,1782475481304213300,209919,1.2,832.6,582.6,750
199,1782475481304963300,210599,0.6,680.4,430.4,750
200,1782475481305588300,211495,1,895.6,645.6,625
201,1782475481306588300,212461,0.8,966,716,1000
202,1782475481307338300,213285,1,823.8,573.8,750
203,1782475481308088300,213977,0.4,692.3,442.3,750
204,1782475481308713300,214674,0.4,697.1,447.1,625
205,1782475481309463300,215356,0.5,682,432,750
206,1782475481310088300,216031,0.4,675.1,425.1,625
207,1782475481310713300,216704,1.6,672.5,422.5,625
208,1782475481311463300,217417,0.5,713,463,750
209,1782475481312088300,218073,0.3,656.4,406.4,625
210,1782475481313088300,219066,0.7,993,743,1000
211,1782475481313963300,219851,0.6,785.1,535.1,875
212,1782475481314713300,220679,1,827.6,577.6,750
213,1782475481315338300,221342,0.4,663,413,625
214,1782475481316088300,222020,0.6,678.1,428.1,750
215,1782475481316713300,222726,0.4,705.7,455.7,625
216,1782475481317463300,223423,0.6,697,447,750
217,1782475481318213300,224142,1.1,718.8,468.8,750
218,1782475481318963300,224961,0.5,819.3,569.3,750
219,1782475481319963300,225962,0.9,1000.9,750.9,1000
220,1782475481320838300,226797,0.8,834.9,584.9,875
221,1782475481321713300,227747,0.7,950.6,700.6,875
222,1782475481322463300,228485,0.3,737.4,487.4,750
223,1782475481323213300,229179,0.6,694.6,444.6,750
224,1782475481323963300,229960,1.3,780.6,530.6,750
225,1782475481324588300,230622,0.4,662.4,412.4,625
226,1782475481325338300,231296,0.6,673.6,423.6,750
227,1782475481325963300,231969,0.5,673.4,423.4,625
228,1782475481326588300,232614,0.3,644.8,394.8,625
229,1782475481327213300,233292,0.4,677.8,427.8,625
230,1782475481328088300,234065,0.8,772.8,522.8,875
231,1782475481328713300,234734,0.5,669.7,419.7,625
232,1782475481329463300,235431,0.3,696.9,446.9,750
233,1782475481330088300,236113,0.6,682.1,432.1,625
234,1782475481330713300,236780,0.6,667.1,417.1,625
235,1782475481331463300,237472,0.4,691.1,441.1,750
236,1782475481332088300,238163,0.5,691.1,441.1,625
237,1782475481332963300,238964,0.6,801.5,551.5,875
238,1782475481333713300,239706,0.5,742.2,492.2,750
239,1782475481334338300,240421,0.4,714.4,464.4,625
240,1782475481335088300,241132,0.4,711.2,461.2,750
241,1782475481335963300,242063,1.6,931.2,681.2,875
242,1782475481336713300,242795,0.5,731.8,481.8,750
243,1782475481337713300,244000,1,1205.2,955.2,1000
244,1782475481338713300,245078,1.1,1077.7,827.7,1000
245,1782475481339713300,246033,0.7,955.5,705.5,1000
246,1782475481340463300,246772,0.8,738.9,488.9,750
247,1782475481341213300,247579,0.8,806.9,556.9,750
248,1782475481341963300,248292,0.4,713.3,463.3,750
249,1782475481342713300,249040,0.7,747.8,497.8,750
250,1782475481343463300,249851,1.1,810.6,560.6,750
251,1782475481344213300,250611,0.7,760.6,510.6,750
252,1782475481344963300,251306,0.9,694.9,444.9,750
253,1782475481345713300,252089,0.7,782.9,532.9,750
254,1782475481346463300,252847,3.6,757.4,507.4,750
255,1782475481347588300,253947,0.8,1100,850,1125
256,1782475481348338300,254677,0.7,730,480,750
257,1782475481348963300,255384,0.6,706.9,456.9,625
258,1782475481349713300,256051,0.4,667.7,417.7,750
259,1782475481350338300,256770,0.6,719,469,625
260,1782475481351213300,257610,0.8,839.7,589.7,875
261,1782475481352463300,259100,3.7,1490.1,1240.1,1250
262,1782475481353588300,260206,0.9,1106.3,856.3,1125
263,1782475481354213300,260926,0.7,719.2,469.2,625
264,1782475481354963300,261649,0.6,723.9,473.9,750
265,1782475481355838300,262451,0.7,801.3,551.3,875
266,1782475481356713300,263374,0.5,923.4,673.4,875
267,1782475481356963300,292088,0.9,28713.9,28463.9,250
268,1782475481357713300,292877,0.8,789.4,539.4,750
269,1782475481358463300,293601,0.6,723.8,473.8,750
270,1782475481359088300,294286,0.3,684.4,434.4,625
271,1782475481359713300,294945,0.6,659.4,409.4,625
272,1782475481360463300,295629,0.4,683.9,433.9,750
273,1782475481361088300,296299,0.5,669.7,419.7,625
274,1782475481361713300,296953,0.3,654.3,404.3,625
275,1782475481362463300,297640,0.5,687.5,437.5,750
276,1782475481363088300,298305,0.5,664.8,414.8,625
277,1782475481363713300,298940,0.4,634.4,384.4,625
278,1782475481364463300,299602,0.3,662.7,412.7,750
279,1782475481365213300,300335,2.3,732.7,482.7,750
280,1782475481365838300,301022,0.5,687,437,625
281,1782475481366463300,301662,0.5,640.3,390.3,625
282,1782475481367088300,302316,0.3,653.7,403.7,625
283,1782475481367713300,302950,0.5,633.9,383.9,625
284,1782475481368463300,303615,0.5,665.5,415.5,750
285,1782475481369088300,304267,0.4,651.5,401.5,625
286,1782475481369713300,304904,0.5,637.6,387.6,625
287,1782475481370588300,305790,0.8,885.7,635.7,875
288,1782475481371588300,306775,0.9,985.2,735.2,1000
289,1782475481372588300,307785,0.7,1009.7,759.7,1000
290,1782475481373588300,308799,0.7,1013.9,763.9,1000
291,1782475481374588300,309774,0.5,975.5,725.5,1000
292,1782475481375588300,310784,3.1,1009.1,759.1,1000
293,1782475481376588300,311786,0.8,1002.1,752.1,1000
294,1782475481377588300,312756,0.6,970.5,720.5,1000
295,1782475481378463300,313725,0.6,969.1,719.1,875
296,1782475481379463300,314704,0.4,978.7,728.7,1000
297,1782475481380463300,315705,0.6,1001.3,751.3,1000
298,1782475481381463300,316701,0.6,995.9,745.9,1000
299,1782475481382463300,317688,0.5,986.9,736.9,1000
300,1782475481383463300,318695,0.8,1006.9,756.9,1000
301,1782475481384463300,319746,0.5,1051.1,801.1,1000
302,1782475481385463300,320777,0.8,1030.6,780.6,1000
303,1782475481386588300,322121,3.3,1344.6,1094.6,1125
304,1782475481387713300,323154,0.5,1032.4,782.4,1125
305,1782475481388338300,323868,0.4,714.6,464.6,625
306,1782475481389088300,324587,0.6,718.6,468.6,750
307,1782475481389838300,325331,0.7,744.1,494.1,750
308,1782475481390588300,326038,0.6,706.5,456.5,750
309,1782475481391338300,326850,0.5,812.5,562.5,750
310,1782475481392088300,327590,0.7,740.3,490.3,750
311,1782475481392963300,328429,1.5,838.3,588.3,875
312,1782475481393588300,329159,1.1,730.5,480.5,625
313,1782475481394338300,329853,0.4,694.2,444.2,750
314,1782475481394963300,330509,0.6,656,406,625
315,1782475481395588300,331154,0.4,644.5,394.5,625
316,1782475481396463300,331993,1.6,839.1,589.1,875
317,1782475481397213300,332733,0.4,740.1,490.1,750
318,1782475481397838300,333386,0.4,652.5,402.5,625
319,1782475481398588300,334114,0.5,728.3,478.3,750
320,1782475481399213300,334787,0.3,673.3,423.3,625
321,1782475481399963300,335476,0.8,689.4,439.4,750
322,1782475481400588300,336407,0.8,930.9,680.9,625
323,1782475481401463300,337262,0.9,854.4,604.4,875
324,1782475481402213300,337962,0.4,700.7,450.7,750
325,1782475481402838300,338604,0.4,641,391,625
326,1782475481403463300,339250,0.4,646.8,396.8,625
327,1782475481404088300,339882,0.3,631.2,381.2,625
328,1782475481404838300,340626,0.9,745,495,750
329,1782475481405588300,341396,0.6,769.3,519.3,750
330,1782475481406338300,342080,0.6,684.1,434.1,750
331,1782475481406963300,342814,0.4,733.9,483.9,625
332,1782475481407713300,343471,0.5,656.9,406.9,750
333,1782475481408338300,344129,0.4,658.2,408.2,625
334,1782475481408963300,344784,0.4,655,405,625
335,1782475481409588300,345420,0.3,635.6,385.6,625
336,1782475481410213300,346076,0.5,657,407,625
337,1782475481410963300,346743,0.5,666.8,416.8,750
338,1782475481411588300,347402,0.4,658.7,408.7,625
339,1782475481412213300,348060,0.4,658.3,408.3,625
340,1782475481412963300,348724,0.5,664.1,414.1,750
341,1782475481413588300,349384,0.4,659.3,409.3,625
342,1782475481414213300,350045,0.4,661.4,411.4,625
343,1782475481414838300,350696,0.5,650.9,400.9,625
344,1782475481415588300,351452,0.9,756.2,506.2,750
345,1782475481416463300,352324,0.9,871.5,621.5,875
346,1782475481417088300,352995,0.3,671.4,421.4,625
347,1782475481417838300,353704,0.7,708.8,458.8,750
348,1782475481418338300,354412,0.6,708.5,458.5,500
349,1782475481419088300,355097,0.4,684.7,434.7,750
350,1782475481419713300,355755,0.4,658.2,408.2,625
351,1782475481420338300,356428,0.4,673.2,423.2,625
352,1782475481421088300,357166,0.5,737.3,487.3,750
353,1782475481421838300,357876,0.4,709.9,459.9,750
354,1782475481422463300,358544,0.6,668.1,418.1,625
355,1782475481423213300,359267,0.5,723.2,473.2,750
356,1782475481423838300,359945,0.4,678.1,428.1,625
357,1782475481424588300,360589,1.5,644.1,394.1,750
358,1782475481425213300,361292,0.4,702.5,452.5,625
359,1782475481425963300,362015,0.5,723.3,473.3,750
360,1782475481426588300,362689,0.8,674.3,424.3,625
361,1782475481427338300,363393,0.5,703.8,453.8,750
362,1782475481427963300,364057,0.5,663.6,413.6,625
